@relation _home_wattams_temp_raib-scrape_data_txt_.

@attribute text string
@attribute filename string
@attribute @@class@@ {'Heavy rail','Heritage railways','Heavy rail and 1 others',Metros,'Heavy rail and 2 others','Light rail'}

@data
'\n  At around 18:35 hrs on 25 August 2013, a London Underground train departing Holland Park station was brought to a halt by the first of many passenger emergency alarm activations, after smoke and a smell of burning entered the train. During the following four minutes, until the train doors still in the platform were opened by the train operator (driver), around 13 passengers, including some children, climbed out of the train via the doors at the ends of carriages.\n\nThe investigation found that rising fear spread through the train when passengers perceived little or no response from the train operator to the activation of the passenger emergency alarms, the train side-doors remained locked and they were unable to open them, and they could not see any staff on the platform to deal with the situation. Believing they were in danger, a number of people in different parts of the train identified that they could climb over the top of safety barriers in the gaps between carriages to reach the platform.\n\nA burning smell from the train had been reported when the train was at the previous station, Notting Hill Gate, and although a request had been made for staff at Holland Park station to investigate the report, the train was not held in the platform for staff to respond. A traction motor on the train was later found to have suffered an electrical fault, known as a ‘flash-over’, which was the main cause of the smoke and smell. \n\nA factor underlying the passengers’ response was the train operator’s lack of training and experience to deal with incidents involving the activation of multiple passenger emergency alarms.\n\nThe report observes that London Underground Limited (LUL) commenced an internal investigation of the incident after details appeared in the media.\n\nRAIB has made six recommendations to LUL. These seek to achieve a better ergonomic design of the interface between the train operator and passenger emergency alarm equipment, to improve the ability of train operators to respond appropriately to incidents of this type, and to ensure that train operators carry radios when leaving the cab to go back into the train so that they can maintain communications with line controllers. LUL is also recommended to review the procedures for line controllers to enable a timely response to safety critical conditions on trains and to ensure continuity at shift changeover when dealing with incidents. In addition, LUL is recommended to review the training and competencies of its staff to provide a joined-up response to incidents involving trains in platforms and to reinforce its procedures on the prompt and accurate reporting of incidents so that they may be properly investigated.\n\nR162014-170728-Holland-Park.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Holland Park\n\n',/home/wattams/temp/raib-scrape/data/txt/./Metros/uncontrolled_evacuation_train_holland_park_station.txt,Metros
'\n  At 14:37 hrs on Saturday 13 September 2008, a tram travelling from Wimbledon to New Addington on the London Tramlink system collided with a 21-year-old male cyclist at Morden Hall Park footpath crossing, between Morden Road and Phipps Bridge tram stops. The tram was travelling at about 62 km/h (39 mph) at the moment that it struck the cyclist, who was thrown to the ground and sustained injuries from which he later died.\n\nThe RAIB investigation identified that the immediate cause of the accident was that the cyclist rode onto the crossing without looking at the approaching tram. Causal factors were that the cyclist may have been wearing headphones which prevented him hearing the audible warnings sounded by the tram driver, and that the layout of the approach to the crossing did not encourage cyclists to look towards eastbound trams.\n\nThe investigation found that a possible contributory factor was that the risks created by the way in which Morden Hall Park and other foot crossings on the London Tramlink system were being used had not been assessed by the infrastructure manager since the tramway opened.\n\nAs a consequence of this accident, RAIB has made one recommendation targeted at Tramtrack Croydon Ltd (trading as London Tramlink), the owner and infrastructure manager, to modify footpath crossings on their system where appropriate.\n\nFollowing the accident, the Office of Rail Regulation (ORR) issued an Improvement Notice requiring Tramtrack Croydon Ltd to assess the risks to users at footpath crossings on its system, and identify any further actions required to reduce risk. The assessment was carried out by the date set for compliance, 14 January 2009, and Tramtrack Croydon Ltd has drawn up a programme of works for improvements at some of the crossings.\n\n \nR062009-090312-MordenHallPark.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Morden Hall Park \n\n\n','/home/wattams/temp/raib-scrape/data/txt/./Light rail/fatal_accident_at_morden_hall_park_footpath_crossing.txt','Light rail'
'\n  At 1:30am on 5 December 2007, a road-rail vehicle (RRV) hauling a loaded trailer was unable to stop as it approached a work site where rock face repairs were taking place. Several site staff narrowly avoided injury by jumping clear. Although a low-speed collision occurred between the RRV and another RRV at the site, staff were not injured.\n\nThe RAIB investigation identified a number of immediate causal factors:\n\n\n  the RRV’s trailer was not fitted with brakes adequate to stop it on the gradient \n  there were poor weather conditions\n  it was likely there were wood chippings on the track. \n\n\nThere were also a number of contributory factors, including:\n\n\n  Network Rail did not advise their contractor of the gradient at the site \n  the machine operator was not aware of the risk of rail contamination from other work going on at the site\n  the machine was travelling too fast\n  the road tyres of the vehicle were not inflated to the correct pressure\n  the operator’s training did not cover how to deal with a braking emergency.\n\n\nAs a consequence of this incident, RAIB has made seven recommendations targeted at Network Rail and the companies who own or operate road-rail vehicles. These include:\n\n\n  providing briefing information for road-rail vehicle operators \n  putting in place competence systems and management for road-rail vehicle operators \n  the provision of a risk assessment for RRVs \n  the provision of service brakes on road-rail vehicle trailers\n\n\n \nR052009-090225-Glen-Garry.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Glen Garry\n\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail/runaway_at_glen_garry.txt','Heavy rail'
'\n  \nRAIB bulletin published regarding a derailment on the Bure Valley Railway, Norfolk, 30 May 2011.\n\n111006-B042011-Bure-Valley-Railway.pdf (5,564.98 kb) \n\n','/home/wattams/temp/raib-scrape/data/txt/./Heritage railways/derailment_on_the_bure_valley_railway_norfolk_30_may_2011.txt','Heritage railways'
'\n  On 27 March 2009 an eastbound District Line train 103 passed a signal controlling the approach to Hanger Lane junction at danger at low speed.  The train stopped with its leading end approximately five metres past the signal, and the train operator (driver of the train) reported the incident to the signaller by telephone.  The signaller gave the train operator authority to proceed across the junction.  Shortly afterwards, and before train 103 had started to move, a westbound Piccadilly Line train crossed the junction in front of it creating the potential for a collision.  The signaller had initially overlooked the presence of this train, and had then been unable to contact the train operator of train 103 once he became aware of the situation. \n\nThe immediate cause of the incident was the signaller giving train 103 the authority to proceed towards Hanger Lane junction before it was safe to do so.\n\nThe causal factors were that the operator of train 103 passed signal WM1 at danger and the signaller did not bring all trains to a halt to protect the junction before giving train 103 authority to proceed.\n\nRAIB has made six recommendations concerning the guidance provided to assist signallers in dealing with incidents; use of simulation techniques during training; training of safety critical communication skills; issuing of medical advice to managers; and preparation of post-incident reports.\n\nR052010-100322-Hanger-Lane.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Hanger Lane Junction\n\n\n',/home/wattams/temp/raib-scrape/data/txt/./Metros/near-miss_at_hanger_lane_junction.txt,Metros
'\n  On Thursday 08 June a Midland Metro tram collided with a taxi on New Swan Lane level crossing. The taxi was pushed across the junction and collided with a stationary lorry. The two occupants of the taxi were taken to hospital with minor injuries, while the tram and both road vehicles suffered minor damage in the collision.\n\nThe immediate cause of the accident was the tram driver failing to stop at the signal, anticipating it would change before the tram reached the crossing. A contributory factor was the driver’s decision not to apply the hazard brake when realising the signal was unlikely to change. The underlying cause behind this decision was the view amongst drivers that use of the hazard brake was discouraged by the organisation. In addition, a lack of familiarity with the performance of the hazard brake and previous briefing on the possibility of causing injury to passengers and damage to the tram contributed to the driver’s decision.\n\nRAIB has made two recommendations aimed at:\n\n\n  reviewing the driver training programme; and\n  reviewing the arrangements for reporting and follow up on use of the hazard brake.\n\n\nR182007-070607-Swan-Lane.pdf\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses. \n\n\nRAIB recommendation response for New Swan Lane \n\n','/home/wattams/temp/raib-scrape/data/txt/./Light rail/collision_at_new_swan_lane_level_crossing.txt','Light rail'
'\n  At around 07:06 hrs on 28 June 2012, a passenger train scheduled to operate between Belfast and Portrush, ran onto a section of washed-out embankment near Knockmore on the Antrim branch line. The driver applied the emergency brake when he became aware of the hazard but was unable to stop the train before the leading bogie ran over the unsupported rails at the washout. The train came to a stand with the bogies of the leading vehicle either side of the washout. The train did not derail and was subsequently reversed away. There were no injuries.\n\nThe RAIB investigation found that the following factors led to the incident:\n\n\n  heavy rainfall in the area during the previous evening;\n  a system of culverts at and downstream of the washout could not cope with the water flows generated by the rainfall, causing localised flooding;\n  the embankment could not withstand the differential water levels that built up across it;  \n  the train was sent onto the Antrim branch line without any additional precautions, despite the heavy rainfall; and\n  the driver was unable to see the washout in time to be able to stop the train before it.\n\n\nTwo underlying factors were identified:\n\n\n  there was no engagement between Northern Ireland Railways (NIR) and the Rivers Agency regarding the potential for flooding due to heavy rainfall at the incident site; and\n  NIR’s weather preparedness procedure did not include a plan for dealing with flooding or heavy rainfall.\n\n\nAs a consequence of the incident, the RAIB has made five recommendations to NIR. The first relates to a review of earthworks and structures with respect to flood risk, including the development of a formalised liaison process with the Rivers Agency for the dissemination of relevant information. The second relates to the development of procedures to maintain safety of the line during and following adverse weather conditions. The other three recommendations relate to safety issues not directly connected with the cause of incident; improving safety critical communications, weed control of the Antrim branch line and improvements to accident investigation procedures.\n\nR142013-130902-Knockmore.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Knockmore\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail/embankment_failure_near_knockmore.txt','Heavy rail'
'\n  On Monday 29 May a locomotive-hauled passenger train was travelling from Dalegarth to Ravenglass when the leading bogie of the sixth coach derailed at Spout House Curve. On Wednesday 5 July, the leading bogie of the fifth coach of a different locomotive-hauled passenger train derailed at Millwood Bank. There were no injuries or significant damage to the track in either incident.\n\nThe immediate cause of the Spout House Curve derailment was flange climb of the leading right wheel, due to the combination of a vehicle fault and the track condition. There were two causal, several contributory and one underlying factor to the derailment.\n\nThe immediate cause of the Millwood Bank derailment was flange climb of the leading right wheel, due to a combination of vehicle, track and operational factors, which resulted in an excessive amount of vehicle sway and wheel unloading. There were three causal, three contributory and one underlying factor to the derailment.\n\nRAIB has made eight recommendations as a result of its investigation these include:\n\n\n  a fleet check of axlebox clearances and its inclusion in ongoing maintenance practice;\n  development and implementation of a vehicle maintenance regime which is based on the assessment of hazards identified from both past experience and analysis of possible future failure modes;\n  review of the suspension set up on the type of bogie involved in the derailment at Millwood Bank, to ensure it is consistent with the track condition;\n  examination of the track to identify current and likely future areas of poor condition and remedial work where necessary, particularly with regard to voiding below sleepers;\n  review of the existing track fault reporting system and the reaction to reported faults and mandating of the system;\n  implementation of a system to identify track faults liable to cause excessive sway and when mitigation measures should be triggered;\n  briefing of operational staff on the signs of and risk from excessive vehicle sway.\n\n\nR072007-070327-RER.pdf\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB recommendation response for Ravenglass & Eskdale Railway\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heritage railways/derailments_on_the_ravenglass_&_eskdale_railway.txt','Heritage railways'
'\n  At around 09:55 hrs on 12 April 2012, a passenger became trapped in one of the doors of a train at Jarrow station. The passenger had arrived on the platform as the doors were closing and had placed her arm in the path of the closing door. The closing doors trapped her arm, and a few seconds later, as the train left the station, the passenger was forced to run alongside it. A timely activation of the emergency door release by a passenger inside the train allowed the passenger to free herself and she fell onto the platform. The passenger left the station immediately. CCTV evidence suggests that she did not sustain significant injuries.\n\nThe RAIB investigation found that, in addition to the passenger’s actions, the following factors led to the incident:\n\n\n  there was a fault condition on the set of doors involved in the incident which, with the arm trapped, not only disabled the obstruction detection system and prevented the door reopening, but also enabled the driver to release the train brakes and apply traction power\n  the passenger was unable to pull her trapped arm out of the door\n  the driver of the train did not notice the trapped passenger in the few seconds between closing the doors and leaving the station.\n\n\nAs a consequence of this incident, RAIB has made five recommendations, which cover:\n\n\n  measures to reduce and monitor the number of deliberate door obstructions\n  improvements to the reliability of the door control circuits\n  improving driver’s visibility of the platform/train interface at stations\n  changing the method used to test door obstacle extraction forces to one that is aligned with the intentions of the relevant Railway Group Standard\n  clarifying Railway Group Standard GM/RT2473, which specifies how to test door obstacle extraction forces.\n\n\nR262012-121203-Jarrow.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Jarrow station \n\n',/home/wattams/temp/raib-scrape/data/txt/./Metros/passenger_incident_at_jarrow_station.txt,Metros
'\n  At approximately 09:44 hrs on Wednesday 16 May 2012, a pedestrian was struck by a tram as she crossed the tramway on a foot crossing on the approach to Sandilands tram stop in Croydon. The impact resulted in the pedestrian falling into the space between the platform and the tram. She remained trapped in that position as the tram continued into the platform and suffered serious injuries.\n\nThe investigation found that the pedestrian had not looked for an approaching tram before she crossed. However, there was a possible obstruction to the pedestrian’s view of approaching trams as she walked towards the entrance to the tram stop and the configuration of the crossing meant that she approached it with her back to trams running on the nearest track.\n\nRisk assessments had been undertaken in relation to safety at Sandilands foot crossing (and other foot crossings on the Croydon tram network) in 2008/9 and 2011. The investigation found that methodology employed in the 2008/9 assessment was not a suitable basis for prioritising the foot crossings for safety improvements. With the agreement of the Office of Rail Regulation, London Tramlink mainly prioritised crossings remote from tram stops for safety improvements from 2009 onwards. The 2011 risk assessment, while intended for the purpose of assessing whether the track at tram stops should be filled in between the rails, also identified that the foot crossing at Sandilands represented the highest risk of the 52 crossings that were considered in the review. London Tramlink did not make any safety improvements to reduce the probability of a pedestrian being struck on the foot crossing at Sandilands in response to the findings. Although London Tramlink had taken some action to help it understand the generality of the risk at foot crossings on its network, and had introduced a speed restriction of 25 km/h for trams passing over foot crossings on the approach to all tram stops, its processes for managing the risk at individual crossings were not effective.\n\nThe investigation also found that two factors affected the consequences of the accident. Firstly, the tram driver did not apply the hazard brake (which achieves a higher rate of retardation than the brake normally employed for stopping trams) after the tram struck the pedestrian. Secondly, there was enough vertical and horizontal clearance to create a survival space for the pedestrian in the position where she fell after the accident.\n\nThe RAIB has made five recommendations. Three recommendations have been made to London Tramlink in relation to risk assessment at foot crossings, processes for ensuring pedestrians have clear sight of approaching trams and improving organisational competence in safety decision-making. One recommendation has been made jointly to London Tramlink and Tram Operations Ltd in relation to investigation of accidents and incidents. One recommendation has been made to the Office of Rail Regulation in relation to reissuing guidance on various aspects of the design of tram stops and foot crossings. \n\nThe RAIB has also identified a learning point for tram operators regarding use of the hazard brake when a tram has struck a pedestrian.\n\nR032013-130214-Sandilands.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Sandilands, Croydon\n\n','/home/wattams/temp/raib-scrape/data/txt/./Light rail/pedestrian_struck_by_a_tram_at_sandilands_tram_stop.txt','Light rail'
'\n  On Tuesday 21 February 2006 a freight train travelling from Crewe to Toton, near Nottingham, contained 14 wagons which had unsecured loads of redundant track panels. Although the unsecured load remained in place throughout the journey, there was potential for it to move or be shed, which could have resulted in a serious incident.\n\nThe train was dispatched onto the mainline railway with an incorrect consist of wagons. There was a breakdown in communications between staff at the freight yard and the procedure for checking departing trains was not properly carried out.\n\nRAIB has made five recommendations aimed at:\n\n\n  ensuring the quality and safety of shunting work,\n  the control, issuing and briefing of methods of work at Basford Hall Yard; and\n  appropriate consideration of staff fatigue.\n\n\nR062007-070221-Basford-Hall.pdf\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.  \n\n\nRAIB recommendation response for Basford Hall\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail/dispatch_of_a_train_with_an_unsecured_load_basford_hall_yard.txt','Heavy rail'
'\n  A passenger train consisting of a former Great Western Railway (GWR) steam tank locomotive, propelling a GWR autocoach, left Norchard station on the Dean Forest Railway (DFR) at 14:40 hrs on Wednesday 15 August 2007.\n\nThe train approached and struck the partially open northern secondary gate at Lydney Town level crossing. The train continued through the crossing before being brought to a stand alongside Lydney Town station platform.\n\nThe RAIB investigation identified that the immediate cause of the accident was that the driver of the train was unable to stop the train and struck the crossing gates.\n\nA causal factor was the excessive speed of the train, and contributory factors were the wet condition of the rails following recent heavy rain, the locomotive crew’s lack of training and experience in controlling this type of train in these conditions, the failure of equipment that warned the level crossing operators that a train was approaching, and the lack of any system for informing the train crew that this equipment was not working.\n\nOther possible contributory factors were the lack of working equipment on the train to lay sand on the rails, noise from road traffic at the level crossing and pressure on the DFR to minimise delays to road users.\n\nRAIB has made ten recommendations, all targeted at the DFR. The recommendations concern the speed of trains approaching Lydney Town level crossing, adherence to speed restrictions; braking and sanding systems on the Dean Forest Railway; procedures for operating the Dean Forest Railway safely in a degraded mode; maintenance of treadles to a recognised standard; knowledge and experience of footplate crews; appointment of a health and safety adviser; notification of accidents; and age-related standards for train drivers.\n\nThe DFR has already taken action to address many of these recommendations, by bringing into use sanding equipment on its trains, providing additional training for locomotive crews, making changes to the warning system at the level crossing, and appointing a qualified person to act as health and safety director.\n\nR142008-080702-Lydney.pdf\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Lydney Town level crossing\n\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heritage railways/collision_lydney_town_level_crossing.txt','Heritage railways'
'\n  At around 18:56 hrs on 11 August 2014, a Tyne and Wear Metro train at Walkergate station, developed an electrical fault in equipment under the rear car, which tripped the power supply to the overhead wire. About a minute later, the power was remotely restored by a power controller and a fire started in the faulty equipment. The fault drew a high current from the overhead wire through the car’s pantograph, causing localised overheating and, after about 18 seconds, the wire parted. The loose ends of the live wire flailed around the train roof, showering sparks, and one end fell on the platform. A second power controller happened to observe events on station CCTV and power to the overhead line was disconnected. The parted overhead wire had remained live for approximately 14 seconds. \n\nAt the time of the accident, the train doors were closed for departure and there were no passengers on the platform. About 30 passengers got out of the train after the power was turned off. There were no reported injuries, although passengers were evidently distressed. \n\nA sustained high current was drawn because the electrical fault occurred in a part of the train’s power circuit which was not protected by on-train equipment and which could only be detected by the overhead power supply protection equipment. However, because of the way that the power was switched back on, the level of current drawn by the fault was not sufficient to immediately activate that protection. The underlying cause of the accident was the ineffective management of risks created at the interface between system components, comprising the power supply, power control and the train. \n\nRAIB observed that the arrangements between the infrastructure operator, Nexus, and the train operator, DB Regio Tyne and Wear, did not effectively facilitate the sharing of relevant health and safety information on risks created within the system. It also observed deficiencies in the competence management of the power control function and in the regime for assuring the continued integrity of some electrical protection equipment.\n\nRAIB has made three recommendations. The first, addressed to Nexus, seeks improvements in its safety management system to provide a more effective framework for the management of its shared risks. The second, addressed to both Nexus and DB Regio Tyne and Wear, relates to the identification and evaluation of risks created at the interfaces between their organisations. The third recommendation, addressed to both organisations, seeks to achieve more comprehensive power control procedures to facilitate safe decision-making.\n\nR092015_150730_Walkergate\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Walkergate station\n\n\n',/home/wattams/temp/raib-scrape/data/txt/./Metros/parting_of_live_overhead_wire_at_walkergate.txt,Metros
'\n  On 29 January 2007, the centre bogie of a tram became derailed at points on the approach to Birmingham Snow Hill terminus. There were no injuries and no significant damage to the infrastructure as a result of the derailment.\n\nThe immediate cause of the derailment was the interaction between the tram wheel and the switch tip, causing the wheel to climb onto the top of the rail. Causal factors were the left-hand switch rail not being restored to the correct geometry following repair, and the tram’s left-hand wheels being biased towards this rail. A contributory factor was the switch blade not being subject to an appropriate inspection after repair. Underlying causes were the lack of staff with sufficient competence to inspect and maintain the points adequately, and insufficiently prescriptive standards and procedures.\n\nRAIB has made four recommendations as a result of this incident. These are aimed at:\n\n\n  the competence of staff\n  standards and procedures for inspection, maintenance and repair.\n\n\n \nR382007-071024-Snow-Hill.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Birmingham Snow Hill \n\n','/home/wattams/temp/raib-scrape/data/txt/./Light rail/derailment_at_birmingham_snow_hill.txt','Light rail'
'\n  At 02:27 hrs on 3 February 2012, an electric locomotive that was being driven from Crewe to Wembley, on the West Coast Main Line, derailed as it negotiated the diverging route at Bletchley Junction. The locomotive was travelling at a speed of 65.5 mph (105.4 km/h) when it derailed: the speed limit for the diverging route was 15 mph (24 km/h). The driver received minor injuries and significant damage was caused to the underside of the locomotive, the track and the overhead electrification equipment.\n\nThe driver of the locomotive correctly reduced its speed on the approach to the red signal before the junction but when this changed to green, with an ‘F’ indication meaning that the locomotive was to take the diverging route, the driver applied full power in the belief that he was going straight on. It is likely that the driver only realised that he was to take the diverging route around the time he was passing the signal, by which time it was too late to prevent the derailment.\n\nRAIB found that the driver did not immediately observe and/or register what was displayed by the signal’s route indicator even though he understood its meaning. This was despite the fact that the approach view of the route indicator was found to be satisfactory, free of obstructions and with sufficient time for a driver to see and understand its meaning. RAIB has concluded that the driver’s belief that he was continuing on the up slow line overcame the fact that the ‘F’ indication was clearly visible to him.\n\nRAIB has made one recommendation to Virgin Trains covering the training and assessment of drivers’ route knowledge, and two recommendations to Network Rail. The first of these relates to the assessment of the risk from overspeeding at diverging junctions when the signal before the junction clears from red to a proceed indication, and the second relates to clarifying the status of the Weekly Operating Notice, an operating publication which is issued to drivers, and which contained information about engineering work south of Bletchley requiring trains to take the diverging route at Bletchley Junction.\n\nR242012-121121-Bletchley-Junction.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Bletchley Junction\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail/derailment_at_bletchley_junction.txt','Heavy rail'
'\n  On Saturday 25 August 2007 a train on the Leighton Buzzard Railway collided with a tractor at low speed on Cavalry Horse User Worked Crossing, on the outskirts of Leighton Buzzard. One passenger was slightly injured, and damage was caused to the locomotive and the tractor.\n\nThe immediate cause of the incident was the tractor driving onto the crossing when a train was approaching. Causal factors were the inadequate visibility for road vehicles and the lack of recent vegetation cutting at the crossing, and a contributory factor was the lack of briefing for the owner of the field. The underlying cause was the Leighton Buzzard Railway’s lack of understanding of the need to assess and maintain visibility for road users on farm crossings.\n\nRAIB has made two recommendations aimed at Leighton Buzzard Railway. These involve:\n\n\n  the operation and visibility of crossings; \n  the management of vegetation; and \n  signage at level crossings.\n\n\n \nR462007-071219-Cavalry-Horse.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Cavalry Horse crossing (Leighton Buzzard)\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heritage railways/collision_on_leighton_buzzard_narrow_gauge_railway.txt','Heritage railways'
'\n  On Saturday 29 April, at 23:09 a District Line train with approximately 150 passengers on board left Earls Court for High Street Kensington. As the train approached High Street Kensington, the driver realised that the wrong route had been set and stopped the train. A “Wrong Direction Move” (WDM) was authorised to reverse the train a short distance so the route could be reset. However, the train did not stop at the authorised limit of the reversal, and was halted by the traction current being turned off. Once the traction current was recharged, the train then travelled to High Street Kensington and terminated 67 minutes late.\n\nUnder slightly different circumstances this could have resulted in a collision with another train travelling in the opposite direction. However, with the protective measures taken during the incident the risk of such a collision was exceedingly low. There were no passenger injuries or damage to trains or infrastructure as a result of the incident.\n\nThe immediate cause of the incident was the failure to correctly locate and identify the position of a signal during a WDM, resulting in the train reversing beyond the limit of the move. There were three causal factors and eight contributory factors to the incident. The underlying causes were inadequate managerial supervision of operating practices at Earls Court Control Room and at High Street Kensington station, and inadequate managerial understanding of the essential knowledge for staff operating in this area.\n\nRAIB has made fourteen recommendations aimed at:\n\n\n  the rules, procedures and working practices of LUL staff;\n  the training and briefing of LUL staff;\n  the operation of LUL stations and control rooms; and\n  the implementation of the Connect Radio project.\n\n\nR192007-070621-High-St-Ken.pdf\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.  \n\n\nRAIB Recommendation response for High Street Kensington\n\n\n',/home/wattams/temp/raib-scrape/data/txt/./Metros/unauthorised_train_movement_at_high_street_kensington.txt,Metros
'\n  At about 11:13 hrs on Tuesday 12 May 2015, a tram collided with and seriously injured a pedestrian, shortly after leaving Market Street tram stop in central Manchester. The pedestrian had just alighted from the tram and was walking along the track towards Piccadilly.\n\nThe accident occurred because the pedestrian did not move out of the path of the tram and because the driver did not apply the tram’s brakes in time to avoid striking the pedestrian.\n\nAs a result of this accident, RAIB has made three recommendations. One is made to Metrolink RATP Dev Ltd in conjunction with Transport for Greater Manchester, to review the assessment of risk from tram operations throughout the pedestrianised area in the vicinity of Piccadilly Gardens.\n\nA second is made to UK Tram, to make explicit provision for the assessment of risk, in areas where trams and pedestrians/cyclists share the same space, in its guidance for the design and operation of urban tramways.\n\nA further recommendation is made to Metrolink RATP Dev Ltd, to improve its care of staff involved in an accident.\n\nR062016_160412_Market_Street \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Market Street\n\n','/home/wattams/temp/raib-scrape/data/txt/./Light rail/collision_between_a_tram_and_a_pedestrian_manchester.txt','Light rail'
'\n  On 5 February 2007 a bridge inspection unit working at the M20 was deployed over a railway bridge between Maidstone Barracks and Aylesford stations. The gantry on the bridge inspection unit was struck by a scheduled Southeastern service, causing significant damage to the leading carriage and wrecking the gantry. The train driver and the sole passenger were injured. Nobody was on the gantry at the time.\n\nThe railway line was open for normal rail services at the time and no possession had been granted to work on the railway. The incident was caused by a misunderstanding between the bridge inspector and the operator of the inspection unit.\n\nRAIB has made six recommendations, all targeted at the contractor working on the highway. These are aimed at:\n\n\n  staff briefing processes\n  site supervision systems\n  safety induction systems\n  staff training.\n\n\n \nR362007-070926-Aylesford.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Aylesford\n\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail/collision_at_aylesford.txt','Heavy rail'
'\n  A tram was approaching Seaton station on the Seaton tramway when it derailed at the points at the entry to the station. There were no injuries as a result of the incident.\n\nThe immediate cause of the derailment was the left-hand switch of the point lying open, possibly caused by unknown persons placing an object in the points. Contributory factors were a lack of visual indication to the driver of the position of the points, and the design of the points.\n\nRAIB has made two recommendations aimed at:\n\n\n  the design of the point lever at Seaton station; and\n  the provision of visual indicators for drivers on the position of the points.\n\n\nR212007-070703-Seaton.pdf\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Seaton tramway\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heritage railways/derailment_of_a_tram_seaton.txt','Heritage railways'
